Movie Tittle,Year,Score,Consensus,Director,Cast
Running Scared,1986,60,"Running Scared struggles to strike a consistent balance between violent action and humor, but the chemistry between its well-matched leads keeps things entertaining.",Peter Hyams,"Gregory Hines, Billy Crystal, Jimmy Smits, Steven Bauer"
Equilibrium,2002,40,Equilibrium is a reheated mishmash of other sci-fi movies.,Kurt Wimmer,"Christian Bale, Emily Watson, Taye Diggs, Angus Macfadyen"
Hero,2004,95,"With death-defying action sequences and epic historic sweep, Hero offers everything a martial arts fan could ask for.",Zhang Yimou,"Jet Li, Tony Leung Chiu Wai, Maggie Cheung, Daoming Chen"
Road House,1989,39,Whether Road House is simply bad or so bad it's good depends largely on the audience's fondness for Swayze -- and tolerance for violently cheesy action.,Rowdy Herrington,"Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara"
Unstoppable,2010,86,"As fast, loud, and relentless as the train at the center of the story, Unstoppable is perfect popcorn entertainment -- and director Tony Scott's best movie in years.",Tony Scott,"Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee"
Shaft,1971,88,"This is the man that would risk his neck for his brother, man. Can you dig it?",Gordon Parks,"Richard Roundtree, Moses Gunn, Gwen Mitchell, Christopher St. John"
The Villainess (Ak-Nyeo),2017,84,The Villainess offers enough pure kinetic thrills to satisfy genre enthusiasts -- and carve out a bloody niche for itself in modern Korean action cinema.,Jung Byung-gil,"Ok-bin Kim, Kim Seo-hyeong, Shin Ha-kyun, Bang Sung-jun"
Highlander,1986,69,"People hate Highlander because it's cheesy, bombastic, and absurd. And people love it for the same reasons.",Russell Mulcahy,"Christopher Lambert, Sean Connery, Roxanne Hart, Clancy Brown"
Die Hard 2,1990,68,"It lacks the fresh thrills of its predecessor, but Die Hard 2 still works as an over-the-top -- and reasonably taut -- big-budget sequel, with plenty of set pieces to paper over the plot deficiencies.",Renny Harlin,"Bruce Willis, Bonnie Bedelia, William Atherton, Reginald VelJohnson"
National Treasure,2004,46,"National Treasure is no treasure, but it's a fun ride for those who can forgive its highly improbable plot.",Jon Turteltaub,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean"
The Protector (Tom yum goong) (Warrior King),2005,53,"Despite some impressive fight scenes, this trimmed-down version of the Thai action pic is an off-putting mix of scant plot, choppy editing, and confusing subtitles and dubbing.",Prachya Pinkaew,"Tony Jaa, Petchtai Wongkamlao, Bongkoj Khongmalai, Bongkoo Kongmalai"
Revenge,2018,92,"Revenge slices and dices genre tropes, working within an exploitation framework while adding a timely -- yet never less than viscerally thrilling -- feminist spin.",Coralie Fargeat,"Matilda Anna Ingrid Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède"
